#separator:tab
#html:true
#notetype:Cloze
#deck:APFC::1 Numbers and Dates
#tags column:3
WEIGHT — Module 4 is {{c1::15.0 marks}} over 8 hours, lowest certainty in the manual	F4.1	APFC::M04::F4_1 syllabus::economy type::numbers
WEIGHT — Module 4 is 15.0 marks over {{c1::8 hours}}, lowest certainty in the manual	F4.1	APFC::M04::F4_1 syllabus::economy type::numbers
PRICES — deflator = (nominal ÷ real) × {{c1::100}}	F4.1	APFC::M04::F4_1 syllabus::economy type::numbers
BASE YEAR REVISED {{c1::2011-12}} » 2022-23 — agency NSO under MoSPI	F4.1	APFC::M04::F4_1 syllabus::economy type::numbers
BASE YEAR REVISED 2011-12 » {{c1::2022-23}} — agency NSO under MoSPI	F4.1	APFC::M04::F4_1 syllabus::economy type::numbers
CURRENT NUMBERS — growth {{c1::2025-26}} 7.4% (FAE), about 7.6% on the new series	F4.1	APFC::M04::F4_1 syllabus::economy type::numbers
CURRENT NUMBERS — growth 2025-26 {{c1::7.4%}} (FAE), about 7.6% on the new series	F4.1	APFC::M04::F4_1 syllabus::economy type::numbers
CURRENT NUMBERS — {{c1::2026-27}} projection 6.8–7.2%	F4.1	APFC::M04::F4_1 syllabus::economy type::numbers
CURRENT NUMBERS — 2026-27 projection {{c1::6.8–7.2}}%	F4.1	APFC::M04::F4_1 syllabus::economy type::numbers
CURRENT NUMBERS — services {{c1::9.1%}}, manufacturing and construction 7%, agriculture 3.1%	F4.1	APFC::M04::F4_1 syllabus::economy type::numbers
CURRENT NUMBERS — services 9.1%, manufacturing and construction {{c1::7%}}, agriculture 3.1%	F4.1	APFC::M04::F4_1 syllabus::economy type::numbers
STRUCTURE — agriculture about a sixth of GVA, about {{c1::45%}} of employment » low output per worker, disguised unemployment, and a services-led path that skipped the manufacturing phase	F4.1	APFC::M04::F4_1 syllabus::economy type::numbers
Planning Commission {{c1::1950}}, Cabinet resolution	F4.1	APFC::M04::F4_1 syllabus::economy type::numbers
PLANNING — First Plan {{c1::1951–56}}, Harrod-Domar, agriculture	F4.1	APFC::M04::F4_1 syllabus::economy type::numbers
PLANNING — Second {{c1::1956–61}}, Mahalanobis, heavy industry	F4.1	APFC::M04::F4_1 syllabus::economy type::numbers
PLANNING — last was the Twelfth, {{c1::2012–17}}	F4.1	APFC::M04::F4_1 syllabus::economy type::numbers
PLANNING — NITI Aayog {{c1::1 January 2015}}, PM chairs, Governing Council = PM + all CMs + LGs of UTs	F4.1	APFC::M04::F4_1 syllabus::economy type::numbers
PLANNING — NITI does NOT allocate funds; devolution is the Finance Commission, {{c1::Article 280}}	F4.1	APFC::M04::F4_1 syllabus::economy type::numbers
DEFLATOR = NOMINAL ÷ REAL × {{c1::100}}	F4.1	APFC::M04::F4_1 syllabus::economy type::numbers
BASE YEAR NOW {{c1::2022-23}}, NOT 2011-12	F4.1	APFC::M04::F4_1 syllabus::economy type::numbers
