#separator:tab
#html:true
#notetype:Basic
#deck:APFC::2 Discrimination
#tags column:3
Right or wrong, and why?<br><br>GST has <b>four</b> slabs — 5, 12, 18 and 28	&#10007; Wrong.<br><br>&#10003; <b>Two main slabs, 5% and 18%</b>, plus a 40% de-merit rate, from <b>22 September 2025</b>	APFC::M04::F4_3 syllabus::economy type::discrimination
Right or wrong, and why?<br><br>Income tax is governed by the <b>Income-tax Act, 1961</b>	&#10007; Wrong.<br><br>&#10003; The <b>Income-tax Act, 2025</b>, in force from <b>1 April 2026</b>	APFC::M04::F4_3 syllabus::economy type::discrimination
Right or wrong, and why?<br><br>The <b>Fifteenth</b> Finance Commission's award is current	&#10007; Wrong.<br><br>&#10003; The <b>Sixteenth</b> Finance Commission has reported, for <b>2026–31</b>	APFC::M04::F4_3 syllabus::economy type::discrimination
Right or wrong, and why?<br><br><b>Qualified</b>	&#10007; Wrong.<br><br>&#10003; <b>Misstatement</b> found	APFC::M06::F6_7 syllabus::accounting type::discrimination
Right or wrong, and why?<br><br><b>Qualified</b>	&#10007; Wrong.<br><br>&#10003; <b>Evidence</b> unobtainable	APFC::M06::F6_7 syllabus::accounting type::discrimination
<b><b>since / for</b> with a period reaching the present take the <b>present perfect</b></b><br><br>The correct fact — and the distractor you must refuse?	&#10003; He <b>has been</b> in service since 2015<br><br>&#10007; <i>Not</i> He <b>is</b> in service since 2015	APFC::M08::F8_4 syllabus::english-quant type::discrimination
<b><b>Past principal clause » past subordinate clause</b></b><br><br>The correct fact — and the distractor you must refuse?	&#10003; He said that he <b>would</b> submit the report<br><br>&#10007; <i>Not</i> He said that he <b>will</b> submit	APFC::M08::F8_4 syllabus::english-quant type::discrimination
<b><b>Exception: a universal truth stays in the present</b></b><br><br>The correct fact — and the distractor you must refuse?	&#10003; He said that water <b>boils</b> at 100 °C<br><br>&#10007; <i>Not</i> He said that water <b>boiled</b>	APFC::M08::F8_4 syllabus::english-quant type::discrimination
<b><b>The earlier of two past actions takes the past perfect</b></b><br><br>The correct fact — and the distractor you must refuse?	&#10003; The employer <b>had left</b> before the inspector <b>arrived</b><br><br>&#10007; <i>Not</i> The employer <b>left</b> before the inspector <b>had arrived</b>	APFC::M08::F8_4 syllabus::english-quant type::discrimination
<b><b><i>no sooner… than</i> · <i>hardly / scarcely… when</b></i></b><br><br>The correct fact — and the distractor you must refuse?	&#10003; No sooner <b>had</b> the order been passed <b>than</b> he appealed<br><br>&#10007; <i>Not</i> No sooner… <b>when</b> · Hardly… <b>than</b>	APFC::M08::F8_4 syllabus::english-quant type::discrimination
