#separator:tab
#html:true
#notetype:Basic
#deck:APFC::5 Definitions and Pairs
#tags column:3
<b>Economic growth</b>	A rise in real national output. <b>Quantitative, single-dimensional</b>	APFC::M04::F4_1 syllabus::economy type::definition
<b>Economic development</b>	Growth <b>plus</b> structural and welfare change — health, education, distribution. <b>Qualitative and normative</b>	APFC::M04::F4_1 syllabus::economy type::definition
<b>Jobless growth</b>	Output rises without a commensurate rise in employment	APFC::M04::F4_1 syllabus::economy type::definition
<b>Inclusive growth</b>	Growth whose benefits reach the bottom of the distribution	APFC::M04::F4_1 syllabus::economy type::definition
<b>Inflation</b>	A <b>sustained rise in the general price level</b>	APFC::M04::F4_2 syllabus::economy type::definition
<b>Deflation</b>	An actual <b>fall</b> in the price level — a negative inflation rate	APFC::M04::F4_2 syllabus::economy type::definition
<b>Disinflation</b>	A <b>fall in the RATE of inflation</b>, prices still rising but more slowly	APFC::M04::F4_2 syllabus::economy type::definition
<b>Reflation</b>	Deliberate stimulation of demand to lift prices out of deflation	APFC::M04::F4_2 syllabus::economy type::definition
<b>Stagflation</b>	<b>High inflation together with stagnant output and high unemployment</b>	APFC::M04::F4_2 syllabus::economy type::definition
<b>Skewflation</b>	A price rise concentrated in a few commodities rather than general	APFC::M04::F4_2 syllabus::economy type::definition
<b>Headline inflation</b>	The all-items rate	APFC::M04::F4_2 syllabus::economy type::definition
<b>Core inflation</b>	Headline <b>excluding food and fuel</b> — the volatile items	APFC::M04::F4_2 syllabus::economy type::definition
<b>NPA</b>	A loan on which interest or principal is overdue <b>beyond 90 days</b>	APFC::M04::F4_2 syllabus::economy type::definition
<b>SARFAESI Act, 2002</b>	Lets secured creditors enforce security <b>without court intervention</b>	APFC::M04::F4_2 syllabus::economy type::definition
<b>Insolvency and Bankruptcy Code, 2016</b>	Time-bound resolution; adjudicated by the <b>NCLT</b> for companies	APFC::M04::F4_2 syllabus::economy type::definition
Basel III	International capital adequacy norms	APFC::M04::F4_2 syllabus::economy type::definition
<b>Fiscal deficit, 2026-27 (BE)</b>	<b>4.3% of GDP</b>	APFC::M04::F4_3 syllabus::economy type::definition
Fiscal deficit, 2025-26 (RE)	<b>4.4% of GDP</b>	APFC::M04::F4_3 syllabus::economy type::definition
